"Name","State","Notes","User","Tags","Created","Runtime","Sweep","ID","Group","Job Type","Updated","End Time","Hostname","Description","Commit","GitHub","GPU Count","GPU Type","EC2_Hostname","EC2_Instance_ID","EC2_Rsync","EC2_SSH","EC2_SSH_Tmux","S3_Link","S3_Path","Team_Id","aug_geom_reflect","aug_geom_scale_max","aug_geom_scale_min","aug_geom_tilt_max_deg","aug_geom_wiggle_max_ratio","aug_input_crop_size","batch_size","batch_size_validation","dataset","dataset_root","log_dir","loss_weight_depth","loss_weight_semseg","lr_scheduler","lr_scheduler_power","model_encoder_name","model_name","name","num_epochs","num_steps_visualization_first","num_steps_visualization_interval","observe_train_ids","observe_valid_ids","optimizer","optimizer_lr","optimizer_momentum","optimizer_weight_decay","prepare_submission","resume","visualize_img_grid_width","visualize_num_samples_in_batch","workers","workers_validation","epoch","loss_train/depth","loss_train/semseg","loss_train/total","loss_val/depth","loss_val/semseg","loss_val/total","metrics_summary/depth","metrics_summary/multitask","metrics_summary/semseg","metrics_task_depth/delta1","metrics_task_depth/delta2","metrics_task_depth/delta3","metrics_task_depth/inv_mae","metrics_task_depth/inv_rmse","metrics_task_depth/log_mae","metrics_task_depth/log_rmse","metrics_task_depth/mae","metrics_task_depth/rel","metrics_task_depth/rel_squared","metrics_task_depth/rmse","metrics_task_depth/si_log_rmse","metrics_task_semseg/bicycle","metrics_task_semseg/building","metrics_task_semseg/bus","metrics_task_semseg/car","metrics_task_semseg/fence","metrics_task_semseg/mean_iou","metrics_task_semseg/motorcycle","metrics_task_semseg/person","metrics_task_semseg/pole","metrics_task_semseg/rider","metrics_task_semseg/road","metrics_task_semseg/sidewalk","metrics_task_semseg/sky","metrics_task_semseg/terrain","metrics_task_semseg/traffic_light","metrics_task_semseg/traffic_sign","metrics_task_semseg/train","metrics_task_semseg/truck","metrics_task_semseg/vegetation","metrics_task_semseg/wall","trainer/LR","trainer/global_step"
"T19_0513-1739_task4_branched_se_dec_berhu_testaug_a7339","running","-","nargenziano","","2022-05-13T17:39:45.000Z","1543","","3soencuz","","","2022-05-13T18:05:28.000Z","2022-05-13T18:05:28.000Z","ip-172-31-14-219","","","https://gitlab.ethz.ch/dlad21/exercise2/tree/e155c18b092cb5ac62f1fb7354d88bab5b169b7e","1","Tesla K80","ec2-18-116-90-114.us-east-2.compute.amazonaws.com","i-0ffb7d34d553449c2","rsync -av -e 'ssh -q -o StrictHostKeyChecking=no -o LogLevel=ERROR -o ConnectTimeout=180 -i ~/.ssh/dlad-aws.pem' . --exclude 'wandb/' --exclude 'doc/' ubuntu@ec2-18-116-90-114.us-east-2.compute.amazonaws.com:~/code/","ssh -q -o StrictHostKeyChecking=no -o LogLevel=ERROR -o ConnectTimeout=180 -i ~/.ssh/dlad-aws.pem ubuntu@ec2-18-116-90-114.us-east-2.compute.amazonaws.com","ssh -q -o StrictHostKeyChecking=no -o LogLevel=ERROR -o ConnectTimeout=180 -i ~/.ssh/dlad-aws.pem ubuntu@ec2-18-116-90-114.us-east-2.compute.amazonaws.com -t tmux attach-session -t dlad","https://s3.console.aws.amazon.com/s3/buckets/dlad22-team19-ex2?region=us-east-2&prefix=T19_0513-1739_task4_branched_se_dec_berhu_testaug_a7339/","s3://dlad22-team19-ex2/T19_0513-1739_task4_branched_se_dec_berhu_testaug_a7339/","19","false","1","1","0","0","256","4","8","miniscapes","/home/ubuntu/miniscapes","/home/ubuntu/results","0.5","0.5","poly","0.9","resnet50","deeplab_branched_se","task4_branched_se_dec_berhu_testaug","16","100","1000","[0,100]","[0,100]","adam","0.0001","0.9","0.0001","false","s3://dlad22-team19-ex2/T19_0510-0345_task4_branched_se_dec_berhu_9c208/last.ckpt","8","8","16","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"T19_0513-1503_task4_branched_se_dec_berhu_testaug_df167","finished","-","nargenziano","","2022-05-13T15:03:12.000Z","6097","","37ngmam4","","","2022-05-13T16:44:49.000Z","2022-05-13T16:44:49.000Z","ip-172-31-16-172","","","https://gitlab.ethz.ch/dlad21/exercise2/tree/e155c18b092cb5ac62f1fb7354d88bab5b169b7e","1","Tesla K80","ec2-3-15-233-35.us-east-2.compute.amazonaws.com","i-030ec089813cd1685","rsync -av -e 'ssh -q -o StrictHostKeyChecking=no -o LogLevel=ERROR -o ConnectTimeout=180 -i ~/.ssh/dlad-aws.pem' . --exclude 'wandb/' --exclude 'doc/' ubuntu@ec2-3-15-233-35.us-east-2.compute.amazonaws.com:~/code/","ssh -q -o StrictHostKeyChecking=no -o LogLevel=ERROR -o ConnectTimeout=180 -i ~/.ssh/dlad-aws.pem ubuntu@ec2-3-15-233-35.us-east-2.compute.amazonaws.com","ssh -q -o StrictHostKeyChecking=no -o LogLevel=ERROR -o ConnectTimeout=180 -i ~/.ssh/dlad-aws.pem ubuntu@ec2-3-15-233-35.us-east-2.compute.amazonaws.com -t tmux attach-session -t dlad","https://s3.console.aws.amazon.com/s3/buckets/dlad22-team19-ex2?region=us-east-2&prefix=T19_0513-1503_task4_branched_se_dec_berhu_testaug_df167/","s3://dlad22-team19-ex2/T19_0513-1503_task4_branched_se_dec_berhu_testaug_df167/","19","false","1","1","0","0","256","4","8","miniscapes","/home/ubuntu/miniscapes","/home/ubuntu/results","0.5","0.5","poly","0.9","resnet50","deeplab_branched_se","task4_branched_se_dec_berhu_testaug","16","100","1000","[0,100]","[0,100]","adam","0.0001","0.9","0.0001","false","s3://dlad22-team19-ex2/T19_0510-0345_task4_branched_se_dec_berhu_9c208/last.ckpt","8","8","16","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"T19_0513-1442_task4_branched_se_dec_berhu_testaug_75840","finished","-","nargenziano","","2022-05-13T14:42:47.000Z","17","","9trxhygv","","","2022-05-13T14:43:04.000Z","2022-05-13T14:43:04.000Z","ip-172-31-0-253","","","https://gitlab.ethz.ch/dlad21/exercise2/tree/e155c18b092cb5ac62f1fb7354d88bab5b169b7e","1","Tesla K80","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"T19_0513-1418_task4_branched_se_dec_berhu_testaug_d3afb","finished","-","nargenziano","","2022-05-13T14:18:42.000Z","686","","3val75v1","","","2022-05-13T14:30:08.000Z","2022-05-13T14:30:08.000Z","ip-172-31-0-253","","","https://gitlab.ethz.ch/dlad21/exercise2/tree/e155c18b092cb5ac62f1fb7354d88bab5b169b7e","1","Tesla K80","ec2-3-128-226-82.us-east-2.compute.amazonaws.com","i-026bc3d655138d9ea","rsync -av -e 'ssh -q -o StrictHostKeyChecking=no -o LogLevel=ERROR -o ConnectTimeout=180 -i ~/.ssh/dlad-aws.pem' . --exclude 'wandb/' --exclude 'doc/' ubuntu@ec2-3-128-226-82.us-east-2.compute.amazonaws.com:~/code/","ssh -q -o StrictHostKeyChecking=no -o LogLevel=ERROR -o ConnectTimeout=180 -i ~/.ssh/dlad-aws.pem ubuntu@ec2-3-128-226-82.us-east-2.compute.amazonaws.com","ssh -q -o StrictHostKeyChecking=no -o LogLevel=ERROR -o ConnectTimeout=180 -i ~/.ssh/dlad-aws.pem ubuntu@ec2-3-128-226-82.us-east-2.compute.amazonaws.com -t tmux attach-session -t dlad","https://s3.console.aws.amazon.com/s3/buckets/dlad22-team19-ex2?region=us-east-2&prefix=T19_0513-1418_task4_branched_se_dec_berhu_testaug_d3afb/","s3://dlad22-team19-ex2/T19_0513-1418_task4_branched_se_dec_berhu_testaug_d3afb/","19","false","1","1","0","0","256","4","8","miniscapes","/home/ubuntu/miniscapes","/home/ubuntu/results","0.5","0.5","poly","0.9","resnet50","deeplab_branched_se","task4_branched_se_dec_berhu_testaug","16","100","1000","[0,100]","[0,100]","adam","0.0001","0.9","0.0001","false","s3://dlad22-team19-ex2/T19_0510-0345_task4_branched_se_dec_berhu_9c208/last.ckpt","8","8","16","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"T19_0513-1034_task4_branched_se_dec_berhu_testaug_ace00","failed","-","nargenziano","","2022-05-13T10:34:49.000Z","5839","","1y88zjg7","","","2022-05-13T12:12:08.000Z","2022-05-13T12:12:08.000Z","ip-172-31-3-114","","","https://gitlab.ethz.ch/dlad21/exercise2/tree/e155c18b092cb5ac62f1fb7354d88bab5b169b7e","1","Tesla K80","ec2-18-191-95-36.us-east-2.compute.amazonaws.com","i-0a4a7d336571680aa","rsync -av -e 'ssh -q -o StrictHostKeyChecking=no -o LogLevel=ERROR -o ConnectTimeout=180 -i ~/.ssh/dlad-aws.pem' . --exclude 'wandb/' --exclude 'doc/' ubuntu@ec2-18-191-95-36.us-east-2.compute.amazonaws.com:~/code/","ssh -q -o StrictHostKeyChecking=no -o LogLevel=ERROR -o ConnectTimeout=180 -i ~/.ssh/dlad-aws.pem ubuntu@ec2-18-191-95-36.us-east-2.compute.amazonaws.com","ssh -q -o StrictHostKeyChecking=no -o LogLevel=ERROR -o ConnectTimeout=180 -i ~/.ssh/dlad-aws.pem ubuntu@ec2-18-191-95-36.us-east-2.compute.amazonaws.com -t tmux attach-session -t dlad","https://s3.console.aws.amazon.com/s3/buckets/dlad22-team19-ex2?region=us-east-2&prefix=T19_0513-1034_task4_branched_se_dec_berhu_testaug_ace00/","s3://dlad22-team19-ex2/T19_0513-1034_task4_branched_se_dec_berhu_testaug_ace00/","19","false","1","1","0","0","256","4","8","miniscapes","/home/ubuntu/miniscapes","/home/ubuntu/results","0.5","0.5","poly","0.9","resnet50","deeplab_branched_se","task4_branched_se_dec_berhu_testaug","16","100","1000","[0,100]","[0,100]","adam","0.0001","0.9","0.0001","false","s3://dlad22-team19-ex2/T19_0510-0345_task4_branched_se_dec_berhu_9c208/last.ckpt","8","8","16","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"T19_0513-0830_task4_branched_se_dec_berhu_testaug_c6c56","failed","-","nargenziano","","2022-05-13T08:30:48.000Z","6028","","9t6sjtm1","","","2022-05-13T10:11:16.000Z","2022-05-13T10:11:16.000Z","ip-172-31-18-27","","","https://gitlab.ethz.ch/dlad21/exercise2/tree/e155c18b092cb5ac62f1fb7354d88bab5b169b7e","1","Tesla K80","ec2-3-142-83-45.us-east-2.compute.amazonaws.com","i-08123e3bbd9bb5e64","rsync -av -e 'ssh -q -o StrictHostKeyChecking=no -o LogLevel=ERROR -o ConnectTimeout=180 -i ~/.ssh/dlad-aws.pem' . --exclude 'wandb/' --exclude 'doc/' ubuntu@ec2-3-142-83-45.us-east-2.compute.amazonaws.com:~/code/","ssh -q -o StrictHostKeyChecking=no -o LogLevel=ERROR -o ConnectTimeout=180 -i ~/.ssh/dlad-aws.pem ubuntu@ec2-3-142-83-45.us-east-2.compute.amazonaws.com","ssh -q -o StrictHostKeyChecking=no -o LogLevel=ERROR -o ConnectTimeout=180 -i ~/.ssh/dlad-aws.pem ubuntu@ec2-3-142-83-45.us-east-2.compute.amazonaws.com -t tmux attach-session -t dlad","https://s3.console.aws.amazon.com/s3/buckets/dlad22-team19-ex2?region=us-east-2&prefix=T19_0513-0830_task4_branched_se_dec_berhu_testaug_c6c56/","s3://dlad22-team19-ex2/T19_0513-0830_task4_branched_se_dec_berhu_testaug_c6c56/","19","false","1","1","0","0","256","4","8","miniscapes","/home/ubuntu/miniscapes","/home/ubuntu/results","0.5","0.5","poly","0.9","resnet50","deeplab_branched_se","task4_branched_se_dec_berhu_testaug","16","100","1000","[0,100]","[0,100]","adam","0.0001","0.9","0.0001","false","s3://dlad22-team19-ex2/T19_0510-0345_task4_branched_se_dec_berhu_9c208/last.ckpt","8","8","16","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"T19_0512-2127_task4_branched_se_dec_berhu_testaug_9ce74","failed","-","nargenziano","","2022-05-12T21:28:01.000Z","5978","","gu9r1xp8","","","2022-05-12T23:07:39.000Z","2022-05-12T23:07:39.000Z","ip-172-31-40-250","","","https://gitlab.ethz.ch/dlad21/exercise2/tree/e155c18b092cb5ac62f1fb7354d88bab5b169b7e","1","Tesla K80","ec2-3-17-62-55.us-east-2.compute.amazonaws.com","i-0eb96cb9372e89feb","rsync -av -e 'ssh -q -o StrictHostKeyChecking=no -o LogLevel=ERROR -o ConnectTimeout=180 -i ~/.ssh/dlad-aws.pem' . --exclude 'wandb/' --exclude 'doc/' ubuntu@ec2-3-17-62-55.us-east-2.compute.amazonaws.com:~/code/","ssh -q -o StrictHostKeyChecking=no -o LogLevel=ERROR -o ConnectTimeout=180 -i ~/.ssh/dlad-aws.pem ubuntu@ec2-3-17-62-55.us-east-2.compute.amazonaws.com","ssh -q -o StrictHostKeyChecking=no -o LogLevel=ERROR -o ConnectTimeout=180 -i ~/.ssh/dlad-aws.pem ubuntu@ec2-3-17-62-55.us-east-2.compute.amazonaws.com -t tmux attach-session -t dlad","https://s3.console.aws.amazon.com/s3/buckets/dlad22-team19-ex2?region=us-east-2&prefix=T19_0512-2127_task4_branched_se_dec_berhu_testaug_9ce74/","s3://dlad22-team19-ex2/T19_0512-2127_task4_branched_se_dec_berhu_testaug_9ce74/","19","false","1","1","0","0","256","4","8","miniscapes","/home/ubuntu/miniscapes","/home/ubuntu/results","0.5","0.5","poly","0.9","resnet50","deeplab_branched_se","task4_branched_se_dec_berhu_testaug","16","100","1000","[0,100]","[0,100]","adam","0.0001","0.9","0.0001","false","s3://dlad22-team19-ex2/T19_0510-0345_task4_branched_se_dec_berhu_9c208/last.ckpt","8","8","16","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"T19_0512-2122_task4_branched_se_dec_berhu_testaug_09f45","failed","-","nargenziano","","2022-05-12T21:22:13.000Z","71","","lhu86ivw","","","2022-05-12T21:23:24.000Z","2022-05-12T21:23:24.000Z","ip-172-31-40-250","","","https://gitlab.ethz.ch/dlad21/exercise2/tree/e155c18b092cb5ac62f1fb7354d88bab5b169b7e","1","Tesla K80","ec2-3-17-62-55.us-east-2.compute.amazonaws.com","i-0eb96cb9372e89feb","rsync -av -e 'ssh -q -o StrictHostKeyChecking=no -o LogLevel=ERROR -o ConnectTimeout=180 -i ~/.ssh/dlad-aws.pem' . --exclude 'wandb/' --exclude 'doc/' ubuntu@ec2-3-17-62-55.us-east-2.compute.amazonaws.com:~/code/","ssh -q -o StrictHostKeyChecking=no -o LogLevel=ERROR -o ConnectTimeout=180 -i ~/.ssh/dlad-aws.pem ubuntu@ec2-3-17-62-55.us-east-2.compute.amazonaws.com","ssh -q -o StrictHostKeyChecking=no -o LogLevel=ERROR -o ConnectTimeout=180 -i ~/.ssh/dlad-aws.pem ubuntu@ec2-3-17-62-55.us-east-2.compute.amazonaws.com -t tmux attach-session -t dlad","https://s3.console.aws.amazon.com/s3/buckets/dlad22-team19-ex2?region=us-east-2&prefix=T19_0512-2122_task4_branched_se_dec_berhu_testaug_09f45/","s3://dlad22-team19-ex2/T19_0512-2122_task4_branched_se_dec_berhu_testaug_09f45/","19","false","1","1","0","0","256","4","8","miniscapes","/home/ubuntu/miniscapes","/home/ubuntu/results","0.5","0.5","poly","0.9","resnet50","deeplab_branched_se","task4_branched_se_dec_berhu_testaug","16","100","1000","[0,100]","[0,100]","adam","0.0001","0.9","0.0001","false","s3://dlad22-team19-ex2/T19_0510-0345_task4_branched_se_dec_berhu_9c208/last.ckpt","8","8","16","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"T19_0512-2117_task4_branched_se_dec_berhu_testaug_64c5f","failed","-","nargenziano","","2022-05-12T21:17:04.000Z","70","","2k2918l9","","","2022-05-12T21:18:14.000Z","2022-05-12T21:18:14.000Z","ip-172-31-40-250","","","https://gitlab.ethz.ch/dlad21/exercise2/tree/e155c18b092cb5ac62f1fb7354d88bab5b169b7e","1","Tesla K80","ec2-3-17-62-55.us-east-2.compute.amazonaws.com","i-0eb96cb9372e89feb","rsync -av -e 'ssh -q -o StrictHostKeyChecking=no -o LogLevel=ERROR -o ConnectTimeout=180 -i ~/.ssh/dlad-aws.pem' . --exclude 'wandb/' --exclude 'doc/' ubuntu@ec2-3-17-62-55.us-east-2.compute.amazonaws.com:~/code/","ssh -q -o StrictHostKeyChecking=no -o LogLevel=ERROR -o ConnectTimeout=180 -i ~/.ssh/dlad-aws.pem ubuntu@ec2-3-17-62-55.us-east-2.compute.amazonaws.com","ssh -q -o StrictHostKeyChecking=no -o LogLevel=ERROR -o ConnectTimeout=180 -i ~/.ssh/dlad-aws.pem ubuntu@ec2-3-17-62-55.us-east-2.compute.amazonaws.com -t tmux attach-session -t dlad","https://s3.console.aws.amazon.com/s3/buckets/dlad22-team19-ex2?region=us-east-2&prefix=T19_0512-2117_task4_branched_se_dec_berhu_testaug_64c5f/","s3://dlad22-team19-ex2/T19_0512-2117_task4_branched_se_dec_berhu_testaug_64c5f/","19","false","1","1","0","0","256","4","8","miniscapes","/home/ubuntu/miniscapes","/home/ubuntu/results","0.5","0.5","poly","0.9","resnet50","deeplab_branched_se","task4_branched_se_dec_berhu_testaug","16","100","1000","[0,100]","[0,100]","adam","0.0001","0.9","0.0001","false","s3://dlad22-team19-ex2/T19_0510-0345_task4_branched_se_dec_berhu_9c208/last.ckpt","8","8","16","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"T19_0512-2111_task4_branched_se_dec_berhu_testaug_82a5d","failed","-","nargenziano","","2022-05-12T21:12:00.000Z","70","","16hes73x","","","2022-05-12T21:13:10.000Z","2022-05-12T21:13:10.000Z","ip-172-31-40-250","","","https://gitlab.ethz.ch/dlad21/exercise2/tree/e155c18b092cb5ac62f1fb7354d88bab5b169b7e","1","Tesla K80","ec2-3-17-62-55.us-east-2.compute.amazonaws.com","i-0eb96cb9372e89feb","rsync -av -e 'ssh -q -o StrictHostKeyChecking=no -o LogLevel=ERROR -o ConnectTimeout=180 -i ~/.ssh/dlad-aws.pem' . --exclude 'wandb/' --exclude 'doc/' ubuntu@ec2-3-17-62-55.us-east-2.compute.amazonaws.com:~/code/","ssh -q -o StrictHostKeyChecking=no -o LogLevel=ERROR -o ConnectTimeout=180 -i ~/.ssh/dlad-aws.pem ubuntu@ec2-3-17-62-55.us-east-2.compute.amazonaws.com","ssh -q -o StrictHostKeyChecking=no -o LogLevel=ERROR -o ConnectTimeout=180 -i ~/.ssh/dlad-aws.pem ubuntu@ec2-3-17-62-55.us-east-2.compute.amazonaws.com -t tmux attach-session -t dlad","https://s3.console.aws.amazon.com/s3/buckets/dlad22-team19-ex2?region=us-east-2&prefix=T19_0512-2111_task4_branched_se_dec_berhu_testaug_82a5d/","s3://dlad22-team19-ex2/T19_0512-2111_task4_branched_se_dec_berhu_testaug_82a5d/","19","false","1","1","0","0","256","4","8","miniscapes","/home/ubuntu/miniscapes","/home/ubuntu/results","0.5","0.5","poly","0.9","resnet50","deeplab_branched_se","task4_branched_se_dec_berhu_testaug","16","100","1000","[0,100]","[0,100]","adam","0.0001","0.9","0.0001","false","s3://dlad22-team19-ex2/T19_0510-0345_task4_branched_se_dec_berhu_9c208/last.ckpt","8","8","16","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
